image_path,label
'test_images/just_traffic_light_0001.png',2
'test_images/just_traffic_light_0002.png',2
'test_images/just_traffic_light_0003.png',2
'test_images/just_traffic_light_0004.png',2
'test_images/just_traffic_light_0005.png',2
'test_images/just_traffic_light_0006.png',2
'test_images/just_traffic_light_0007.png',2
'test_images/just_traffic_light_0008.png',2
'test_images/just_traffic_light_0009.png',2
'test_images/just_traffic_light_0010.png',2
'test_images/just_traffic_light_0011.png',2
'test_images/just_traffic_light_0012.png',2
'test_images/just_traffic_light_0013.png',2
'test_images/just_traffic_light_0014.png',2
'test_images/just_traffic_light_0015.png',2
'test_images/just_traffic_light_0016.png',2
'test_images/just_traffic_light_0017.png',2
'test_images/just_traffic_light_0018.png',2
'test_images/just_traffic_light_0019.png',2
'test_images/just_traffic_light_0020.png',2
'test_images/just_traffic_light_0021.png',2
'test_images/just_traffic_light_0022.png',2
'test_images/just_traffic_light_0023.png',2
'test_images/just_traffic_light_0024.png',2
'test_images/just_traffic_light_0025.png',2
'test_images/just_traffic_light_0026.png',2
'test_images/just_traffic_light_0027.png',2
'test_images/just_traffic_light_0028.png',2
'test_images/just_traffic_light_0029.png',2
'test_images/just_traffic_light_0030.png',2
'test_images/just_traffic_light_0031.png',2
'test_images/just_traffic_light_0032.png',2
'test_images/just_traffic_light_0033.png',2
'test_images/just_traffic_light_0034.png',2
'test_images/just_traffic_light_0035.png',2
'test_images/just_traffic_light_0036.png',2
'test_images/just_traffic_light_0037.png',2
'test_images/just_traffic_light_0038.png',2
'test_images/just_traffic_light_0039.png',2
'test_images/just_traffic_light_0040.png',2
'test_images/just_traffic_light_0041.png',2
'test_images/just_traffic_light_0042.png',2
'test_images/just_traffic_light_0043.png',2
'test_images/just_traffic_light_0044.png',2
'test_images/just_traffic_light_0045.png',2
'test_images/just_traffic_light_0046.png',2
'test_images/just_traffic_light_0047.png',2
'test_images/just_traffic_light_0048.png',2
'test_images/just_traffic_light_0049.png',2
'test_images/just_traffic_light_0050.png',2
'test_images/just_traffic_light_0051.png',2
'test_images/just_traffic_light_0052.png',2
'test_images/just_traffic_light_0053.png',2
'test_images/just_traffic_light_0054.png',2
'test_images/just_traffic_light_0055.png',2
'test_images/just_traffic_light_0056.png',2
'test_images/just_traffic_light_0057.png',2
'test_images/just_traffic_light_0058.png',2
'test_images/just_traffic_light_0059.png',2
'test_images/just_traffic_light_0060.png',2
'test_images/just_traffic_light_0061.png',2
'test_images/just_traffic_light_0062.png',2
'test_images/just_traffic_light_0063.png',2
'test_images/just_traffic_light_0064.png',2
'test_images/just_traffic_light_0065.png',2
'test_images/just_traffic_light_0066.png',2
'test_images/just_traffic_light_0067.png',2
'test_images/just_traffic_light_0068.png',2
'test_images/just_traffic_light_0069.png',2
'test_images/just_traffic_light_0070.png',2
'test_images/just_traffic_light_0071.png',2
'test_images/just_traffic_light_0072.png',2
'test_images/just_traffic_light_0073.png',2
'test_images/just_traffic_light_0074.png',2
'test_images/just_traffic_light_0075.png',2
'test_images/just_traffic_light_0076.png',2
'test_images/just_traffic_light_0077.png',2
'test_images/just_traffic_light_0078.png',1
'test_images/just_traffic_light_0079.png',1
'test_images/just_traffic_light_0080.png',1
'test_images/just_traffic_light_0081.png',1
'test_images/just_traffic_light_0082.png',1
'test_images/just_traffic_light_0083.png',1
'test_images/just_traffic_light_0084.png',1
'test_images/just_traffic_light_0085.png',1
'test_images/just_traffic_light_0086.png',1
'test_images/just_traffic_light_0087.png',1
'test_images/just_traffic_light_0088.png',1
'test_images/just_traffic_light_0089.png',1
'test_images/just_traffic_light_0090.png',1
'test_images/just_traffic_light_0091.png',1
'test_images/just_traffic_light_0092.png',1
'test_images/just_traffic_light_0093.png',1
'test_images/just_traffic_light_0094.png',1
'test_images/just_traffic_light_0095.png',1
'test_images/just_traffic_light_0096.png',1
'test_images/just_traffic_light_0097.png',1
'test_images/just_traffic_light_0098.png',1
'test_images/just_traffic_light_0099.png',1
'test_images/just_traffic_light_0100.png',1
'test_images/just_traffic_light_0101.png',1
'test_images/just_traffic_light_0102.png',1
'test_images/just_traffic_light_0103.png',1
'test_images/just_traffic_light_0104.png',1
'test_images/just_traffic_light_0105.png',1
'test_images/just_traffic_light_0106.png',1
'test_images/just_traffic_light_0107.png',1
'test_images/just_traffic_light_0108.png',1
'test_images/just_traffic_light_0109.png',1
'test_images/just_traffic_light_0110.png',1
'test_images/just_traffic_light_0111.png',1
'test_images/just_traffic_light_0112.png',1
'test_images/just_traffic_light_0113.png',1
'test_images/just_traffic_light_0114.png',1
'test_images/just_traffic_light_0115.png',1
'test_images/just_traffic_light_0116.png',1
'test_images/just_traffic_light_0117.png',1
'test_images/just_traffic_light_0118.png',1
'test_images/just_traffic_light_0119.png',1
'test_images/just_traffic_light_0120.png',1
'test_images/just_traffic_light_0121.png',1
'test_images/just_traffic_light_0122.png',1
'test_images/just_traffic_light_0123.png',1
'test_images/just_traffic_light_0124.png',1
'test_images/just_traffic_light_0125.png',1
'test_images/just_traffic_light_0126.png',1
'test_images/just_traffic_light_0127.png',1
'test_images/just_traffic_light_0128.png',1
'test_images/just_traffic_light_0129.png',1
'test_images/just_traffic_light_0130.png',1
'test_images/just_traffic_light_0131.png',1
'test_images/just_traffic_light_0132.png',1
'test_images/just_traffic_light_0133.png',1
'test_images/just_traffic_light_0134.png',1
'test_images/just_traffic_light_0135.png',1
'test_images/just_traffic_light_0136.png',1
'test_images/just_traffic_light_0137.png',1
'test_images/just_traffic_light_0138.png',1
'test_images/just_traffic_light_0139.png',1
'test_images/just_traffic_light_0140.png',0
'test_images/just_traffic_light_0141.png',0
'test_images/just_traffic_light_0142.png',0
'test_images/just_traffic_light_0143.png',0
'test_images/just_traffic_light_0144.png',0
'test_images/just_traffic_light_0145.png',0
'test_images/just_traffic_light_0146.png',0
'test_images/just_traffic_light_0147.png',0
'test_images/just_traffic_light_0148.png',0
'test_images/just_traffic_light_0149.png',0
'test_images/just_traffic_light_0150.png',0
'test_images/just_traffic_light_0151.png',0
'test_images/just_traffic_light_0152.png',0
'test_images/just_traffic_light_0153.png',0
'test_images/just_traffic_light_0154.png',0
'test_images/just_traffic_light_0155.png',0
'test_images/just_traffic_light_0156.png',0
'test_images/just_traffic_light_0157.png',0
'test_images/just_traffic_light_0158.png',0
'test_images/just_traffic_light_0159.png',0
'test_images/just_traffic_light_0160.png',0
'test_images/just_traffic_light_0161.png',0
'test_images/just_traffic_light_0162.png',0
'test_images/just_traffic_light_0163.png',0
'test_images/just_traffic_light_0164.png',0
'test_images/just_traffic_light_0165.png',0
'test_images/just_traffic_light_0166.png',0
'test_images/just_traffic_light_0167.png',0
'test_images/just_traffic_light_0168.png',0
'test_images/just_traffic_light_0169.png',0
'test_images/just_traffic_light_0170.png',0
'test_images/just_traffic_light_0171.png',0
'test_images/just_traffic_light_0172.png',0
